,all_drug_classes,alcohol,nicotine,opioids,stimulants,cannabis
all_drug_classes,0.5874616336569171,0.4501175560604055,0.29474401213056745,0.2416911282635619,0.311722707869237,0.13710798923501216
alcohol,0.5359224982350217,0.810132959100735,0.035003900437762504,0.13077496889287527,0.09433829377643886,0.08904934901280508
nicotine,0.15320750801392355,0.030421611044439408,0.3861868447686792,0.02233620574465582,0.005899620760859799,-0.00786432740728632
opioids,0.2954730680875455,0.06339580992769529,0.05790436945030926,0.7469884906820718,0.0921044291869027,0.0832603319617095
stimulants,0.37087599447408753,0.13143611769801122,0.049951666374689535,0.10460915475516568,0.6340163412652983,0.10162936043478851
cannabis,0.22992910074823666,0.04381700052119378,0.030095994363855617,0.020526845516749426,0.0898333659311352,0.5169336968405587
all_analyses,0.5179686353298655,0.3644453552664075,0.2830676780608693,0.16461649234120657,0.33041672679455963,0.12676493650730722
all_studies,0.530767546336439,0.36759037011071455,0.2794029366887335,0.17518161280655714,0.3314652275413243,0.1434629138850723
all_abstract,0.5229531354558445,0.3637688325985322,0.2807175233871994,0.17815803061543542,0.3301298982579925,0.13421814163110807
