id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
18823721-18823721_analysis_5	9	0	0	0	0	0	0	0
18823721-18823721_analysis_6	3	0	0	0	0	0	0	0
18851716-18851716_analysis_0	1	0	0	0	0	0	0	0
18851716-18851716_analysis_1	4	0	0	0	0	0	0	0
19015835-19015835_analysis_0	1	0	0	0	0	0	0	0
19015835-19015835_analysis_1	5	0	0	0	0	0	0	0
19028527-19028527_analysis_0	7	0	0	0	0	0	0	0
19028527-19028527_analysis_1	5	0	0	0	0	0	0	0
19107465-19107465_analysis_0	4	0	0	0	0	0	0	0
19107465-19107465_analysis_2	0	0	0	0	0	0	0	0
19107465-19107465_analysis_4	3	0	0	0	0	0	0	0
19129383-19129383_analysis_0	4	0	0	0	0	0	0	0
19135471-19135471_analysis_0	8	0	0	0	0	0	0	0
19135471-19135471_analysis_1	4	0	0	0	0	0	0	0
19135471-19135471_analysis_2	1	0	0	0	0	0	0	0
19135471-19135471_analysis_3	3	0	0	0	0	0	0	0
19260039-19260039_analysis_0	7	0	0	0	0	0	0	0
19369561-19369561_analysis_0	6	1	0	0	0	0	0	0
19369561-19369561_analysis_1	6	1	0	0	0	0	0	0
19369561-19369561_analysis_2	6	1	0	0	0	0	0	0
19369561-19369561_analysis_3	4	0	0	0	0	0	0	0
19369561-19369561_analysis_4	2	0	0	0	0	0	0	0
19369561-19369561_analysis_5	4	0	0	0	0	0	0	0
19369561-19369561_analysis_6	2	0	0	0	0	0	0	0
19420266-19420266_analysis_0	2	0	0	0	0	0	0	0
19420266-19420266_analysis_1	1	0	0	0	0	0	0	0
19420266-19420266_analysis_2	0	0	0	0	0	0	0	0
19420266-19420266_analysis_3	4	0	0	0	0	0	0	0
19632211-19632211_analysis_0	11	0	0	0	0	0	0	0
19632211-19632211_analysis_1	4	0	0	0	0	0	0	0
19632211-19632211_analysis_2	0	0	0	0	0	0	0	0
19632211-19632211_analysis_3	7	0	0	0	0	0	0	0
19636426-19636426_analysis_0	14	0	0	0	0	0	0	0
19806158-19806158_analysis_0	0	0	0	0	0	0	0	0
19806158-19806158_analysis_1	5	0	0	0	0	0	0	0
19968401-19968401_analysis_0	5	0	0	0	0	0	0	0
19968401-19968401_analysis_1	0	0	0	0	0	0	0	0
19968401-19968401_analysis_2	11	0	0	0	0	0	0	0
19968401-19968401_analysis_3	2	0	0	0	0	0	0	0
19968401-19968401_analysis_4	1	0	0	0	0	0	0	0
19968401-19968401_analysis_5	0	0	0	0	0	0	0	0
20044075-20044075_analysis_0	6	0	0	0	0	0	0	0
20090671-20090671_analysis_0	1	0	0	0	0	0	0	0
20090671-20090671_analysis_1	5	0	0	0	0	0	0	0
20090671-20090671_analysis_10	0	0	0	0	0	0	0	0
20090671-20090671_analysis_11	3	0	0	0	0	0	0	0
20090671-20090671_analysis_12	0	0	0	0	0	0	0	0
20090671-20090671_analysis_13	0	0	0	0	0	0	0	0
20090671-20090671_analysis_14	0	0	0	0	0	0	0	0
20090671-20090671_analysis_15	2	0	0	0	0	0	0	0
20090671-20090671_analysis_16	3	0	0	0	0	0	0	0
20090671-20090671_analysis_17	0	0	0	0	0	0	0	0
20090671-20090671_analysis_18	3	0	0	0	0	0	0	0
20090671-20090671_analysis_19	1	0	0	0	0	0	0	0
20090671-20090671_analysis_2	1	0	0	0	0	0	0	0
20090671-20090671_analysis_3	8	0	0	0	0	0	0	0
20090671-20090671_analysis_4	13	0	0	0	0	0	0	0
20090671-20090671_analysis_5	4	0	0	0	0	0	0	0
