run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v2-allstudies,all,dementia_all,82,36,True
v2-allstudies,decrease,dementia_decreasing_activity,58,37,True
v2-allstudies,functional,functional,28,10,True
v2-allstudies,structural,structural,57,30,True
v2-allstudies,,all_abstract,377,110,False
v2-allstudies,,all_analyses,297,55,False
v2-allstudies,,all_studies,388,120,False
