,global_calculationandvisuospatialandword_mni_final,calculation_mni_final,wordproblems_mni_final,visuospatialreasoning_mni_final,demand_mni_final
domain_general_problem_solving,0.7054065899039802,0.6253097496368453,0.47235879901165545,0.31668853099617605,0.5178798514675212
mathematical_problem_solving,0.6473141006903065,0.7595103073965002,0.4079552734261254,0.22842336057404825,0.4881969457922782
verbal_problem_solving,0.45163182593856654,0.42429216249487073,0.49099477587403645,0.15726451389789478,0.49646935096153844
visuospatial_problem_solving,0.5504691618344755,0.4541883330684166,0.4021022148334853,0.35650753312760936,0.3641537830072513
logical_reasoning,0.4871169723499751,0.40387672740613917,0.4850749143011208,0.29185655756571377,0.5469183786785119
all_analyses,0.7195012692250261,0.6467423789599522,0.46389688111405225,0.29715597500318836,0.49728311785647367
all_studies,0.7195012692250261,0.6467423789599522,0.46389688111405225,0.29715597500318836,0.49728311785647367
all_abstract,0.7195012692250261,0.6467423789599522,0.46389688111405225,0.29715597500318836,0.49728311785647367
