auto_name,v1-annotation-only,v2-annotation-only
domain_general_problem_solving,78,80
mathematical_problem_solving,28,28
verbal_problem_solving,25,27
visuospatial_problem_solving,44,34
logical_reasoning,27,31
all_abstract,81,81
all_analyses,81,81
all_studies,81,81
