id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
11751032-11751032_1	0	0	0	1	0	0	0	0	0	0
11751032-11751032_2	0	0	0	0	0	0	0	0	0	0
11751032-11751032_3	0	0	0	0	0	0	0	0	0	0
12062884-12062884_1	1	1	0	0	0	0	0	1	0	0
12655327-12655327_1	0	0	0	0	0	0	0	0	0	0
12944524-12944524_1	0	0	0	0	0	0	0	0	0	0
15130588-15130588_1	0	0	0	0	0	0	0	0	0	0
15784440-15784440_1	0	0	0	0	0	0	0	0	0	0
15795135-15795135_1	0	0	0	0	0	0	0	0	0	0
16033924-16033924_1	0	0	0	0	0	0	0	0	0	0
16504951-16504951_1	0	0	0	0	0	0	0	0	0	0
16959497-16959497_1	0	0	0	0	0	0	0	0	0	0
17949691-17949691_1	0	0	0	0	0	0	0	0	0	0
20032238-20032238_1	0	1	0	0	0	0	0	0	0	0
20032238-20032238_2	0	0	0	0	0	0	0	0	0	0
20472072-20472072_1	0	0	0	0	0	0	0	0	0	0
21451019-21451019_1	0	0	0	0	0	0	0	0	0	0
21451019-21451019_2	0	0	0	0	0	0	0	0	0	0
21451019-21451019_3	0	0	0	0	0	0	0	0	0	0
22250647-22250647_1	0	0	0	0	0	0	0	0	0	0
23313780-23313780_1	0	0	0	0	0	0	0	0	0	0
23313780-23313780_2	1	0	0	0	0	0	0	0	0	0
23313780-23313780_3	1	0	0	0	0	0	0	0	0	0
23313780-23313780_4	1	0	0	0	0	0	0	0	0	0
23313780-23313780_5	1	1	0	0	0	0	0	0	0	0
23355606-23355606_1	0	0	0	0	0	0	0	0	0	0
23355606-23355606_2	1	0	0	0	0	0	0	0	0	0
23476024-23476024_1	0	0	0	0	0	0	0	0	0	0
24298242-24298242_1	0	0	0	0	0	0	0	0	0	0
24298242-24298242_2	0	0	0	0	0	0	0	0	0	0
24355752-24355752_1	0	0	0	0	0	0	0	0	0	0
24367286-24367286_1	1	0	0	1	0	0	0	0	0	0
24367286-24367286_2	0	0	0	0	0	0	0	0	0	0
24367286-24367286_3	0	0	0	0	0	0	0	0	0	0
25698984-25698984_1	0	0	0	0	0	0	0	0	0	0
27623361-27623361_1	1	0	0	0	0	0	0	0	0	0
28686139-28686139_1	0	0	0	0	0	0	0	0	0	0
29408323-29408323_1	0	0	0	0	0	0	0	0	0	0
