pmcid,n_coordinates,licence,article_dir
8705776,6,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/155/pmcid_8705776
12226611,6,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/1b9/pmcid_12226611
7736294,14,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/1ea/pmcid_7736294
13402854,15,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/1ef/pmcid_13402854
8058410,16,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/284/pmcid_8058410
12853780,6,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/290/pmcid_12853780
12380973,4,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/2bb/pmcid_12380973
12331521,5,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/329/pmcid_12331521
9288360,6,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/343/pmcid_9288360
10156746,4,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/516/pmcid_10156746
8236045,9,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/656/pmcid_8236045
12188329,6,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/846/pmcid_12188329
13181157,8,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/857/pmcid_13181157
7873272,19,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/86a/pmcid_7873272
8528711,3,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/9f1/pmcid_8528711
13326802,17,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/a0b/pmcid_13326802
8677785,14,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/b8c/pmcid_8677785
8385067,6,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/d3c/pmcid_8385067
8825623,4,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/e44/pmcid_8825623
13238437,5,creativecommons.org/licenses/by/,projects/cue_reactivity/v5-recent/retrieval/pubget_data/articles/fbe/pmcid_13238437
5990553,4,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/007/pmcid_5990553
3313953,5,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/212/pmcid_3313953
4728635,11,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/21c/pmcid_4728635
6362203,10,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/223/pmcid_6362203
3605420,5,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/307/pmcid_3605420
6513994,8,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/35c/pmcid_6513994
4134311,13,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/398/pmcid_4134311
5748416,18,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/422/pmcid_5748416
4297301,3,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/485/pmcid_4297301
3655173,11,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/4d2/pmcid_3655173
3622693,17,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/4f7/pmcid_3622693
6194129,18,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/53e/pmcid_6194129
4698540,22,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/58b/pmcid_4698540
5556089,5,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/5b8/pmcid_5556089
3272045,4,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/6ce/pmcid_3272045
6521098,4,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/6e9/pmcid_6521098
4638337,13,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/728/pmcid_4638337
4500585,5,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/752/pmcid_4500585
5868769,16,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/9ef/pmcid_5868769
3140495,13,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/b5a/pmcid_3140495
5807408,18,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/bb7/pmcid_5807408
5962628,8,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/c43/pmcid_5962628
4490279,11,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/c78/pmcid_4490279
3426465,53,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/cf3/pmcid_3426465
6610070,31,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/d2e/pmcid_6610070
7269728,8,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/d75/pmcid_7269728
2821928,22,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/ea2/pmcid_2821928
7295993,7,creativecommons.org/licenses/by/,projects/cue_reactivity/v6/retrieval/pubget_data/articles/f32/pmcid_7295993
3584128,16,creativecommons.org/publicdomain/zero/,projects/decision_making/v1/retrieval/pubget_data/articles/0e3/pmcid_3584128
6565358,4,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/0e8/pmcid_6565358
6085921,4,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/0ed/pmcid_6085921
4503769,72,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/12e/pmcid_4503769
4210250,8,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/16a/pmcid_4210250
2943904,49,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/1c1/pmcid_2943904
4221218,6,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/3f8/pmcid_4221218
3747156,6,creativecommons.org/publicdomain/zero/,projects/decision_making/v1/retrieval/pubget_data/articles/464/pmcid_3747156
2806405,43,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/51d/pmcid_2806405
5286415,5,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/5fc/pmcid_5286415
5428836,8,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/62c/pmcid_5428836
4477935,70,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/82b/pmcid_4477935
5709503,10,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/83d/pmcid_5709503
6197386,13,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/9ea/pmcid_6197386
5942817,3,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/a12/pmcid_5942817
3189203,6,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/a22/pmcid_3189203
3229557,3,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/a50/pmcid_3229557
6345784,7,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/b54/pmcid_6345784
5577855,8,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/b8f/pmcid_5577855
6303343,16,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/bdf/pmcid_6303343
4330550,3,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/c1a/pmcid_4330550
3734351,36,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/cc1/pmcid_3734351
5124953,20,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/d1b/pmcid_5124953
4526587,94,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/d28/pmcid_4526587
4330549,8,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/d84/pmcid_4330549
2518922,11,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/daf/pmcid_2518922
4755012,3,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/db6/pmcid_4755012
5500565,23,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/e09/pmcid_5500565
4306597,9,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/e97/pmcid_4306597
2655712,3,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/ed1/pmcid_2655712
5579021,15,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/f04/pmcid_5579021
4729321,12,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/f32/pmcid_4729321
4468216,59,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/fdf/pmcid_4468216
2424135,8,creativecommons.org/licenses/by/,projects/decision_making/v1/retrieval/pubget_data/articles/fe1/pmcid_2424135
