manual_name,auto_name,manual_exists,run::v5-annotation-only-gpt
1_reward_neutral_2020_wbonly,pooled_cue_reactivity,True,True
2_drug_neutral_2020_wbonly,drug_cue_reactivity,True,True
3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,True,True
