,all,decrease,functional,structural
dementia_all,0.48658435236851477,0.44041965764770846,0.3217370818281765,0.3484188000317033
dementia_decreasing_activity,0.49360648055165024,0.46678374095172825,0.36748267898383374,0.3594508778483377
functional,0.29405910605339447,0.31922334780511336,0.35950829582857524,0.19368047498805704
structural,0.35745926582180965,0.34897602140578365,0.17635451316457124,0.33571387762097926
all_analyses,0.4529410393304269,0.37441566298190615,0.27742363494764777,0.28116741687236824
all_studies,0.4536065673952456,0.34555023024151865,0.2690679521374214,0.2651539389166441
all_abstract,0.4600651672891997,0.34813377468325535,0.2688325258858174,0.2683765582461671
