pmid,file,bytes,sha256,rendered_by_the_arms
18391135,18391135.extraction.json,138300,e18563a0dd0d266f0ef03658034f9846bf5ad07ac77057dc538102bea27e0267,True
18413289,18413289.extraction.json,105806,a8e5e91beceff4cf516325465cda9a15a97ed90c182b466c13fb821b9b4e8fd2,True
18460331,18460331.extraction.json,81518,a2367fd7fa52865f52252c4660a1fe61e5ed11688553a57f1c4b394abb206744,True
18507736,18507736.extraction.json,108785,baccde1b2ee6c77c667aaa23bdf513888a1e39369bf38f517b57357ca3ad60af,True
18540916,18540916.extraction.json,95759,2597ba7d4bfb971ea44aea658392ea20ab578be7f78c9cdbf34972765f0e56cb,True
18568078,18568078.extraction.json,59970,c2687ec56d82e5e4a3ccabe5446dac046558fab0eb4f2e9a6a2d11268f547073,True
18606956,18606956.extraction.json,76365,99699df540f671204cec5cf061c3c582bd9287adac45ea56243cc4b6dac8dacc,True
18672069,18672069.extraction.json,91796,be62c90aa295b6d344358ea5b660f24c7f2a2cf8bf0b576037e16b2dd29ad987,True
18704100,18704100.extraction.json,93110,9ac8f45973a3ac2d77bf94cc9ace6397c897729bb8ec5b6e1ee7188a481cca8d,True
18711709,18711709.extraction.json,94301,3cddf32718ea8b05af8d79d9af844cc349cc003640e1bf8d776d62cf3187a621,True
18823721,18823721.extraction.json,188593,410bb93d542f9b9877fede6a1de638f17dcfb9853dd676b7d18a62e87b2d7572,True
18851716,18851716.extraction.json,74792,3e0fa0e0ed46556c923d260865bae78597a7fb98cf617a34d50e4d52d179c135,True
19015835,19015835.extraction.json,107159,80d1c1539b07faafedff8e5435880ca758a1ec493205e8e64d9f15fc031293cc,True
19025463,19025463.extraction.json,25866,803b7903a0c3f5ab4ea14052ef89afbad82cd371d362daa073fe45ae3c5e2981,True
19028527,19028527.extraction.json,78587,265ecb52ba7b6198bf9a260fa9d0b2fab05170c3200f7439fa00a84ba2d0c0c6,True
19107465,19107465.extraction.json,131745,76a07e56f234215d81c560aa9d2987133d6918adde8777f7f08f4f25a3df74fe,True
19129383,19129383.extraction.json,137356,be61c4e114485dfd51e51628da711efdf59ccaeb2ef0dbecf7dd90a2a3f96dc7,True
19135471,19135471.extraction.json,80885,47e09369391efe7266bf0bda7aab8b9d50e481c6c8c50d87b798494cf5aa1507,True
19260039,19260039.extraction.json,114497,d02a68b25e6c0a38ebbfc6879e4c563da85c6c33ae40c1bb94a153e6a3dc9515,True
19365394,19365394.extraction.json,102102,31fc8a040bbb93e81240f59a28499acabc640cfe40ea7546224ee87d4b218885,True
19369561,19369561.extraction.json,133894,c3b09d7dd067316fea2ee44d97a04cf795b72daad765c02449ad8b017392f4ba,True
19420266,19420266.extraction.json,100263,5582db5db6a22f562fbdbdf6334873e6aebcc93fed5201c1bb3045f1d22aa57a,True
19560123,19560123.extraction.json,169836,e04d9d191487467bc46c951989b74c1609e069a9ab5547705d02389589f3b640,True
19632211,19632211.extraction.json,104226,45cae4ba3c322bca7464d1dab7670ad140cb73cf6dac87949163a224b219fb67,True
19636426,19636426.extraction.json,71629,505bffb6116fc28061b316dba37139838b7bb05745f16b4f967070173d983698,True
19650816,19650816.extraction.json,105598,04e7efb36329929072f32898c625a7f3600339a07579345ed911f23394f66aab,True
19806158,19806158.extraction.json,114891,79fb7b67578c08d9507d825b74e66f86a7ded69e368ce6efd9dd71a2b194c52f,True
19907419,19907419.extraction.json,88486,12abf2b7c2ce4ecc487c9583db7941fd6610e6d5194b8294c474c3b0c5b38b23,True
19968401,19968401.extraction.json,101603,a66d4f3978b0fe429d48dda689d848d031e22aa78cf1f88cad698d477d968380,True
20010552,20010552.extraction.json,91066,0d24191b1579f9ea26c6f9c86d61cba04dad29dc0085cd2fc39b7403d81a6326,True
20028366,20028366.extraction.json,84569,7d82579d7cc553a712b1ca790fbda6da4e6df1edacdac05d4efcfeba56357f51,True
20044075,20044075.extraction.json,81125,80d92c9c3e28886a558c646a5b8e0fd194a895849fc020b9fcff5bd1d56fe6eb,True
